"","candidate","district","borough","votes","party","olpr.winner"
"Write-In1342","COOKIE KING","6","New York County",1,"Write-In1342",0
"Write-In1343","CORAIE BERMGOT","6","New York County",1,"Write-In1343",0
"Write-In1344","CORINNE ROLLER","6","New York County",1,"Write-In1344",0
"Write-In1345","COROORAN BYRNE","6","New York County",1,"Write-In1345",0
"Write-In1346","CORY BERTREM","6","New York County",1,"Write-In1346",0
"Write-In1347","CRISTINA FONTANELLI","6","New York County",3,"Write-In1347",0
"Write-In1348","CULETTE BENNETT","6","New York County",1,"Write-In1348",0
"Write-In1349","CURTIS A. SLIWA","6","New York County",59,"Write-In1349",0
"Write-In1350","DAN LOEB","6","New York County",1,"Write-In1350",0
"Write-In1351","DANA BLANTOM","6","New York County",1,"Write-In1351",0
"Write-In1352","DANIEL DASKEL","6","New York County",1,"Write-In1352",0
"Write-In1353","DANIEL GOLLIHER","6","New York County",1,"Write-In1353",0
"Write-In1354","DANIEL GORDONICK","6","New York County",1,"Write-In1354",0
"Write-In1355","DANIEL I. TYLER","6","New York County",1,"Write-In1355",0
"Write-In1356","DANIEL MCCARRON","6","New York County",1,"Write-In1356",0
"Write-In1357","DANIEL PRENSKY","6","New York County",1,"Write-In1357",0
"Write-In1358","DANIEL SHUCHMAN","6","New York County",1,"Write-In1358",0
"Write-In1359","DANIEL T. MALLET JR","6","New York County",1,"Write-In1359",0
"Write-In1360","DANIEL WEINER","6","New York County",1,"Write-In1360",0
"Write-In1361","DANNY DEVITO","6","New York County",1,"Write-In1361",0
"Write-In1362","DARROW WOOLLEY","6","New York County",1,"Write-In1362",0
"Write-In1363","DAVE GEORGE","6","New York County",1,"Write-In1363",0
"Write-In1364","DAVE MCCORMACK","6","New York County",1,"Write-In1364",0
"Write-In1365","DAVE SMITH","6","New York County",1,"Write-In1365",0
"Write-In1366","DAVID ASMAN","6","New York County",1,"Write-In1366",0
"Write-In1367","DAVID BRENNER","6","New York County",1,"Write-In1367",0
"Write-In1368","DAVID DANGER WELLS","6","New York County",1,"Write-In1368",0
"Write-In1369","DAVID GREENBERGER","6","New York County",1,"Write-In1369",0
"Write-In1370","DAVID KLEIN","6","New York County",1,"Write-In1370",0
"Write-In1371","DAVID SACK","6","New York County",2,"Write-In1371",0
"Write-In1372","DAVID SHANFIELD","6","New York County",1,"Write-In1372",0
"Write-In1373","DAVID WASSNER","6","New York County",1,"Write-In1373",0
"Write-In1374","DAVID ZELMAN","6","New York County",1,"Write-In1374",0
"Write-In1375","DEBORAH STEIN","6","New York County",1,"Write-In1375",0
"Write-In1376","DEBRA HANNAH","6","New York County",1,"Write-In1376",0
"Write-In1377","DENNIS RYAN HULL","6","New York County",1,"Write-In1377",0
"Write-In1378","DENNIS SHAYA","6","New York County",1,"Write-In1378",0
"Write-In1379","DEREK JETER","6","New York County",2,"Write-In1379",0
"Write-In1380","DEREK LANTNER","6","New York County",1,"Write-In1380",0
"Write-In1381","DIANA FLORENCE","6","New York County",2,"Write-In1381",0
"Write-In1382","DIANE FLECK","6","New York County",1,"Write-In1382",0
"Write-In1383","DIANE HESS","6","New York County",3,"Write-In1383",0
"Write-In1384","DIANE MORGAN","6","New York County",1,"Write-In1384",0
"Write-In1385","DINA BAKER","6","New York County",1,"Write-In1385",0
"Write-In1386","DINDI CANTWELL","6","New York County",1,"Write-In1386",0
"Write-In1387","DON SANTERRE","6","New York County",1,"Write-In1387",0
"Write-In1388","DON WINTER","6","New York County",1,"Write-In1388",0
"Write-In1389","DONALD IUCLID","6","New York County",1,"Write-In1389",0
"Write-In1390","DONALD J. TRUMP","6","New York County",15,"Write-In1390",0
"Write-In1391","DONALD TRUMP JR.","6","New York County",4,"Write-In1391",0
"Write-In1392","DOUG GAFF","6","New York County",1,"Write-In1392",0
"Write-In1393","DOUG PETERSON","6","New York County",1,"Write-In1393",0
"Write-In1394","DR. GUY SOLOMON","6","New York County",1,"Write-In1394",0
"Write-In1395","DYER HALPERN","6","New York County",1,"Write-In1395",0
"Write-In1396","ED KOCH","6","New York County",1,"Write-In1396",0
"Write-In1397","EDI VECHO","6","New York County",1,"Write-In1397",0
"Write-In1398","EDMUND FOLEY","6","New York County",1,"Write-In1398",0
"Write-In1399","EILEEN CARAMAGNO","6","New York County",1,"Write-In1399",0
"Write-In14","CELIA CRUZ","8","New York County",1,"Write-In14",0
"Write-In1400","EILEEN FISHER","6","New York County",1,"Write-In1400",0
"Write-In1401","ELANA SINENSKY","6","New York County",1,"Write-In1401",0
"Write-In1402","ELI NORTHRUP","6","New York County",3,"Write-In1402",0
"Write-In1403","ELIAS RAFT","6","New York County",1,"Write-In1403",0
"Write-In1404","ELIJAH KOCHIN","6","New York County",1,"Write-In1404",0
"Write-In1405","ELISE STEFANIK","6","New York County",1,"Write-In1405",0
"Write-In1406","ELISHEVA NOA ROBINOVICH","6","New York County",1,"Write-In1406",0
"Write-In1407","ELIZABETH A. REINGOLD","6","New York County",1,"Write-In1407",0
"Write-In1408","ELIZABETH BARTMAN","6","New York County",1,"Write-In1408",0
"Write-In1409","ELIZABETH FLISSER ROSMAN","6","New York County",1,"Write-In1409",0
"Write-In1410","ELIZABETH FLISSET ROSMAN","6","New York County",1,"Write-In1410",0
"Write-In1411","ELIZABETH GROSS","6","New York County",1,"Write-In1411",0
"Write-In1412","ELIZABETH PODAIR","6","New York County",1,"Write-In1412",0
"Write-In1413","ELIZABETH RAMSEY","6","New York County",1,"Write-In1413",0
"Write-In1414","ELLIE GRACE","6","New York County",1,"Write-In1414",0
"Write-In1415","ELLIOT SPITZER","6","New York County",1,"Write-In1415",0
"Write-In1416","ELON MUSK","6","New York County",3,"Write-In1416",0
"Write-In1417","ELSIE COREA","6","New York County",1,"Write-In1417",0
"Write-In1418","EMANUEL ZAREH","6","New York County",1,"Write-In1418",0
"Write-In1419","EMILIANO ZAPATA","6","New York County",1,"Write-In1419",0
"Write-In1420","EMILY C. FRANK","6","New York County",1,"Write-In1420",0
"Write-In1421","EMILY THEGIDGO","6","New York County",1,"Write-In1421",0
"Write-In1422","EMMA GILBNA","6","New York County",1,"Write-In1422",0
"Write-In1423","EMMA SEALKIPALLZ","6","New York County",1,"Write-In1423",0
"Write-In1424","ERIC J. SHERIPAN","6","New York County",1,"Write-In1424",0
"Write-In1425","ERIC L. ADAMS","6","New York County",18,"Write-In1425",0
"Write-In1426","ERIC PRICE","6","New York County",1,"Write-In1426",0
"Write-In1427","ERIC SALGADO","6","New York County",1,"Write-In1427",0
"Write-In1428","ERIK BOTTCHER","6","New York County",1,"Write-In1428",0
"Write-In1429","ETHAN LEIB","6","New York County",1,"Write-In1429",0
"Write-In1430","EVA MOSKOWITZ","6","New York County",1,"Write-In1430",0
"Write-In1431","EZEKIEL REYNA","6","New York County",1,"Write-In1431",0
"Write-In1432","EZRA DIPIETRA","6","New York County",1,"Write-In1432",0
"Write-In1433","EZRA KLEIN","6","New York County",1,"Write-In1433",0
"Write-In1434","FABIO SAVOLDELIN","6","New York County",1,"Write-In1434",0
"Write-In1435","FIG HORN","6","New York County",2,"Write-In1435",0
"Write-In1436","FRAN LEBOWITZ","6","New York County",2,"Write-In1436",0
"Write-In1437","FRANK COLEN","6","New York County",2,"Write-In1437",0
"Write-In1438","FRED SMITH","6","New York County",1,"Write-In1438",0
"Write-In1439","G KINGFISH STEVENS","6","New York County",1,"Write-In1439",0
"Write-In1440","GABRIELLE THIRY","6","New York County",1,"Write-In1440",0
"Write-In1441","GARY MAIER","6","New York County",1,"Write-In1441",0
"Write-In1442","GEORGE GRONER","6","New York County",1,"Write-In1442",0
"Write-In1443","GEORGE WASHINGTON","6","New York County",1,"Write-In1443",0
"Write-In1444","GLENN SCHUBERT","6","New York County",2,"Write-In1444",0
"Write-In1445","GONZALO DURAN","6","New York County",3,"Write-In1445",0
"Write-In1446","GOWI KRISHNA","6","New York County",2,"Write-In1446",0
"Write-In1447","GRANT FEVER","6","New York County",1,"Write-In1447",0
"Write-In1448","GREG SMITH","6","New York County",1,"Write-In1448",0
"Write-In1449","GREG SORNENBERG","6","New York County",1,"Write-In1449",0
"Write-In1450","GRIL WIENLER","6","New York County",1,"Write-In1450",0
"Write-In1451","GUILLAUME LEFEBVRE","6","New York County",1,"Write-In1451",0
"Write-In1452","GWYNNE SHOTWELL","6","New York County",1,"Write-In1452",0
"Write-In1453","HANNAH SLAUGHTER","6","New York County",1,"Write-In1453",0
"Write-In1454","HANNAH YOUNG","6","New York County",1,"Write-In1454",0
"Write-In1455","HARLAN DIAMOND","6","New York County",1,"Write-In1455",0
"Write-In1456","HARRIS GREY","6","New York County",1,"Write-In1456",0
"Write-In1457","HARRISON KURKER","6","New York County",1,"Write-In1457",0
"Write-In1458","HARRY DEMELL","6","New York County",1,"Write-In1458",0
"Write-In1459","HARRY ZIMMERMAN","6","New York County",1,"Write-In1459",0
"Write-In1460","HARVEY STEIN","6","New York County",1,"Write-In1460",0
"Write-In1461","HAYNES KING","6","New York County",1,"Write-In1461",0
"Write-In1462","HAYTHEN LARRIBI","6","New York County",1,"Write-In1462",0
"Write-In1463","HELEN K. ROSENTHAL","6","New York County",2,"Write-In1463",0
"Write-In1464","HELEN QIU","6","New York County",3,"Write-In1464",0
"Write-In1465","HILLARY TUCKER","6","New York County",1,"Write-In1465",0
"Write-In1466","HILLARY WALLACE","6","New York County",2,"Write-In1466",0
"Write-In1467","HIND RAJAB","6","New York County",1,"Write-In1467",0
"Write-In1468","HOMEY CLOIN","6","New York County",1,"Write-In1468",0
"Write-In1469","HOWARD YORUSS","6","New York County",1,"Write-In1469",0
"Write-In1470","HOWARD ZUCKER","6","New York County",1,"Write-In1470",0
"Write-In1471","IMMANUEL ALLEN","6","New York County",1,"Write-In1471",0
"Write-In1472","IRA KALFUS","6","New York County",1,"Write-In1472",0
"Write-In1473","IRA RABIN","6","New York County",1,"Write-In1473",0
"Write-In1474","IRENE ALFANDARI","6","New York County",1,"Write-In1474",0
"Write-In1475","ISAAC DIAMOND","6","New York County",1,"Write-In1475",0
"Write-In1476","JACK BREWER","6","New York County",1,"Write-In1476",0
"Write-In1477","JACK E. COLE JR.","6","New York County",1,"Write-In1477",0
"Write-In1478","JACOB BELOWITZ","6","New York County",1,"Write-In1478",0
"Write-In1479","JACOB COHEN","6","New York County",1,"Write-In1479",0
"Write-In1480","JACOB KESSLER","6","New York County",1,"Write-In1480",0
"Write-In1481","JACOB MOGHIMI","6","New York County",1,"Write-In1481",0
"Write-In1482","JACQUELINE CABLE","6","New York County",1,"Write-In1482",0
"Write-In1483","JAKE FRIEDFELD","6","New York County",1,"Write-In1483",0
"Write-In1484","JALEN BRUNSON","6","New York County",2,"Write-In1484",0
"Write-In1485","JAMES F. KARPEN","6","New York County",1,"Write-In1485",0
"Write-In1486","JAMES JACKSON","6","New York County",1,"Write-In1486",0
"Write-In1487","JAMES KNOX","6","New York County",1,"Write-In1487",0
"Write-In1488","JAMES MULAK","6","New York County",1,"Write-In1488",0
"Write-In1489","JAMES PLATT","6","New York County",1,"Write-In1489",0
"Write-In1490","JAMES PRIZANT","6","New York County",1,"Write-In1490",0
"Write-In1491","JAMES RESULE","6","New York County",1,"Write-In1491",0
"Write-In1492","JAMIE RUBIN","6","New York County",2,"Write-In1492",0
"Write-In1493","JANE RUTH POTTER","6","New York County",1,"Write-In1493",0
"Write-In1494","JANE SMITH","6","New York County",1,"Write-In1494",0
"Write-In1495","JANE STEINBERG","6","New York County",1,"Write-In1495",0
"Write-In1496","JANET SCHROHER","6","New York County",1,"Write-In1496",0
"Write-In1497","JARED VERTERAMO","6","New York County",2,"Write-In1497",0
"Write-In1498","JASON GIL","6","New York County",1,"Write-In1498",0
"Write-In1499","JASON MURILLO","6","New York County",1,"Write-In1499",0
"Write-In15","CHRISTOPHER MARTE","8","New York County",1,"Write-In15",0
"Write-In1500","JAXSON DART","6","New York County",1,"Write-In1500",0
"Write-In1501","JAY TAKEFMAN","6","New York County",1,"Write-In1501",0
"Write-In1502","JEAN BAPTISTE BARBERFOOT","6","New York County",1,"Write-In1502",0
"Write-In1503","JEFF MORDAS","6","New York County",1,"Write-In1503",0
"Write-In1504","JEFF REINGOLD","6","New York County",1,"Write-In1504",0
"Write-In1505","JELENA SKORO","6","New York County",1,"Write-In1505",0
"Write-In1506","JENNIFER BECK","6","New York County",1,"Write-In1506",0
"Write-In1507","JEREMY GANN","6","New York County",1,"Write-In1507",0
"Write-In1508","JEREMY KRANTZE","6","New York County",1,"Write-In1508",0
"Write-In1509","JEREMY KUDA","6","New York County",1,"Write-In1509",0
"Write-In1510","JEREMY SILVERSTEIN","6","New York County",1,"Write-In1510",0
"Write-In1511","JERRY SEINFELD","6","New York County",1,"Write-In1511",0
"Write-In1512","JESSE EISEN","6","New York County",1,"Write-In1512",0
"Write-In1513","JESSE JAMES","6","New York County",1,"Write-In1513",0
"Write-In1514","JESSICA TISCH","6","New York County",3,"Write-In1514",0
"Write-In1515","JESSIE WATERS","6","New York County",1,"Write-In1515",0
"Write-In1516","JIHUA QUAIL","6","New York County",1,"Write-In1516",0
"Write-In1517","JILL BYEFF","6","New York County",1,"Write-In1517",0
"Write-In1518","JILL HAYMAN","6","New York County",1,"Write-In1518",0
"Write-In1519","JIM ROSENTHAL","6","New York County",1,"Write-In1519",0
"Write-In1520","JIMMY KIMMEL","6","New York County",1,"Write-In1520",0
"Write-In1521","JIMMY MCMILLION","6","New York County",1,"Write-In1521",0
"Write-In1522","JING BOUCHER","6","New York County",1,"Write-In1522",0
"Write-In1523","JODI MARKOFF","6","New York County",2,"Write-In1523",0
"Write-In1524","JOE A. NUNEZ","6","New York County",1,"Write-In1524",0
"Write-In1525","JOE GERMANOTTA","6","New York County",2,"Write-In1525",0
"Write-In1526","JOEL LANGSTEIN","6","New York County",1,"Write-In1526",0
"Write-In1527","JOHN BOVQIAMAS","6","New York County",1,"Write-In1527",0
"Write-In1528","JOHN C. DUFFY","6","New York County",1,"Write-In1528",0
"Write-In1529","JOHN G. MCNAMARA","6","New York County",2,"Write-In1529",0
"Write-In1530","JOHN JAY","6","New York County",1,"Write-In1530",0
"Write-In1531","JOHN PADHORETZ","6","New York County",1,"Write-In1531",0
"Write-In1532","JOHN PODHORETZ","6","New York County",1,"Write-In1532",0
"Write-In1533","JOHN TULLY GORDON","6","New York County",1,"Write-In1533",0
"Write-In1534","JOHN VALIS","6","New York County",1,"Write-In1534",0
"Write-In1535","JOHN VIRUET","6","New York County",1,"Write-In1535",0
"Write-In1536","JON LENDER","6","New York County",1,"Write-In1536",0
"Write-In1537","JON STEWART","6","New York County",1,"Write-In1537",0
"Write-In1538","JON TYSON","6","New York County",1,"Write-In1538",0
"Write-In1539","JONATHAN HANAS","6","New York County",1,"Write-In1539",0
"Write-In1540","JONATHAN LENDER","6","New York County",1,"Write-In1540",0
"Write-In1541","JONATHAN MARCUS","6","New York County",1,"Write-In1541",0
"Write-In1542","JONATHAN WIETSCHNER","6","New York County",2,"Write-In1542",0
"Write-In1543","JORGE QUINTANA","6","New York County",1,"Write-In1543",0
"Write-In1544","JOSEIK BENDEL","6","New York County",1,"Write-In1544",0
"Write-In1545","JOSEPH CLEMILOSKI","6","New York County",1,"Write-In1545",0
"Write-In1546","JOSEPH D. PASCARELLE","6","New York County",1,"Write-In1546",0
"Write-In1547","JOSEPH R. BIDEN JR.","6","New York County",1,"Write-In1547",0
"Write-In1548","JOSEPH STALIN","6","New York County",1,"Write-In1548",0
"Write-In1549","JOSEPH STEPAN","6","New York County",1,"Write-In1549",0
"Write-In1550","JOSEPH VOGEL","6","New York County",1,"Write-In1550",0
"Write-In1551","JOSH HART","6","New York County",2,"Write-In1551",0
"Write-In1552","JOSH VINSTO","6","New York County",1,"Write-In1552",0
"Write-In1553","JOSHUA B. KOH","6","New York County",1,"Write-In1553",0
"Write-In1554","JOSHUA KOTT","6","New York County",1,"Write-In1554",0
"Write-In1555","JOSHUA MEHAR","6","New York County",1,"Write-In1555",0
"Write-In1556","JOSHUA WEINER","6","New York County",1,"Write-In1556",0
"Write-In1557","JOYCE SILVER","6","New York County",1,"Write-In1557",0
"Write-In1558","JUAN SOTO","6","New York County",1,"Write-In1558",0
"Write-In1559","JUDITH SHEINDLIN","6","New York County",1,"Write-In1559",0
"Write-In1560","JULIA VEROLEES","6","New York County",1,"Write-In1560",0
"Write-In1561","JULIANA N GAMINO","6","New York County",1,"Write-In1561",0
"Write-In1562","JULIE KATEMAN","6","New York County",1,"Write-In1562",0
"Write-In1563","JULIE MENIN","6","New York County",1,"Write-In1563",0
"Write-In1564","JULIE SIDANA","6","New York County",1,"Write-In1564",0
"Write-In1565","JUSTIN ITZKOWITZ","6","New York County",1,"Write-In1565",0
"Write-In1566","JUSTIN LEONE","6","New York County",1,"Write-In1566",0
"Write-In1567","JUSTIN SEAENBAEM","6","New York County",1,"Write-In1567",0
"Write-In1568","JYSTI JHAVERI","6","New York County",1,"Write-In1568",0
"Write-In1569","KAE WALLACE","6","New York County",1,"Write-In1569",0
"Write-In1570","KANJAL K. SHAH","6","New York County",1,"Write-In1570",0
"Write-In1571","KAREN CAWGR","6","New York County",1,"Write-In1571",0
"Write-In1572","KAT SMITH","6","New York County",1,"Write-In1572",0
"Write-In1573","KATHERINE HALLETT","6","New York County",1,"Write-In1573",0
"Write-In1574","KATHRYN HUM","6","New York County",1,"Write-In1574",0
"Write-In1575","KATIE BISHOP","6","New York County",1,"Write-In1575",0
"Write-In1576","KAYLA BLOCH","6","New York County",1,"Write-In1576",0
"Write-In1577","KAYLIE WOLK","6","New York County",1,"Write-In1577",0
"Write-In1578","KELLY DOUGLAS","6","New York County",1,"Write-In1578",0
"Write-In1579","KENDRA D'EMILIA","6","New York County",1,"Write-In1579",0
"Write-In1580","KERIANNE CHEN","6","New York County",1,"Write-In1580",0
"Write-In1581","KEVIN JAMES LUKE","6","New York County",1,"Write-In1581",0
"Write-In1582","KEVIN PETKOS","6","New York County",1,"Write-In1582",0
"Write-In1583","KEVIN SHEEKEY","6","New York County",1,"Write-In1583",0
